datetime_utc_from,consumption_MWh,temperature_celsius,global_radiation_J
2022-11-30T23:00Z,80.999822,3.5,0
2022-12-01T00:00Z,79.544125,3.3,0
2022-12-01T01:00Z,78.102728,3,0
2022-12-01T02:00Z,79.662236,2.7,0
2022-12-01T03:00Z,79.906591,2.4,0
2022-12-01T04:00Z,79.767504,2.1,0
2022-12-01T05:00Z,88.131128,1.8,0
2022-12-01T06:00Z,104.584302,1.9,0
2022-12-01T07:00Z,120.801191,1.9,0
2022-12-01T08:00Z,125.614085,2,66885.6
2022-12-01T09:00Z,127.222163,2.4,135522
2022-12-01T10:00Z,128.777365,2.7,193674
2022-12-01T11:00Z,127.141182,3.2,273876
2022-12-01T12:00Z,116.436641,3.7,268020
2022-12-01T13:00Z,123.905576,4,208590
2022-12-01T14:00Z,125.492469,4.2,167988
2022-12-01T15:00Z,123.1725,4.1,90636
2022-12-01T16:00Z,117.938382,3.9,10831.2
2022-12-01T17:00Z,105.39775,3.4,0
2022-12-01T18:00Z,98.314548,3.2,0
2022-12-01T19:00Z,93.67705,2.8,0
2022-12-01T20:00Z,92.209441,2.7,0
2022-12-01T21:00Z,87.39821,2.5,0
2022-12-01T22:00Z,82.548399,2.5,0
2022-12-01T23:00Z,80.15533,2.5,0
2022-12-02T00:00Z,80.105799,1.9,0
2022-12-02T01:00Z,79.596821,1.6,0
2022-12-02T02:00Z,79.763865,1.6,0
2022-12-02T03:00Z,79.485168,1.2,0
2022-12-02T04:00Z,80.513531,1.1,0
2022-12-02T05:00Z,89.040722,1,0
2022-12-02T06:00Z,105.343009,0.8,0
2022-12-02T07:00Z,121.238384,0.7,0
2022-12-02T08:00Z,126.283457,1.1,91464.3
2022-12-02T09:00Z,125.648166,2.8,151518
2022-12-02T10:00Z,127.812577,3,220194
2022-12-02T11:00Z,122.890883,3.3,418410
2022-12-02T12:00Z,110.164901,3.7,397836
2022-12-02T13:00Z,113.379591,4,508230
2022-12-02T14:00Z,112.294508,4.4,427074
2022-12-02T15:00Z,112.372273,4.7,172642.8
2022-12-02T16:00Z,108.289135,4.1,14025.9
2022-12-02T17:00Z,101.197121,3.8,0
2022-12-02T18:00Z,94.11935,3.2,0
2022-12-02T19:00Z,90.00986,2.5,0
